Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Investor,Founders
RaRa Delivery,Logistics,Seed Round,"$800,000 ",,Provides same day delivery service for ecommerce businesses,,"Der Shing Lim, 500 startups",Karan Bhardwaj
SuperK,Retail,Seed,"$800,000 ","Small Towns, Andhra Pradesh",SuperK is a full-stack solution to empower small format retail stores in India.,2019,STRIVE VC,Neeraj Menta
Studio Sirah,Computer Games,,"$800,000 ",Bangalore,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,2020,Lumikai,"Abhaas Shah, Prateek Shah"
WizKlub,EdTech,Pre-series A,"$800,000 ",Bangalore,Wizklub uses a unique method of developing and nurturing Higher Order Thinking Skills in children,2018,Incubate Fund India,Amit Bansal
Insane AI,Fitness,Seed,"$800,000 ",Bangalore,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,2021,pi Ventures,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal"
Qoohoo,Social platform,Seed,"$800,000 ",Bangalore,A platform for creators to build immersive connections with their fans and followers and monetize them.,2020,Angel investors,"Vimal Singh Rathore, Aseem Gupta"
Rubix Data Sciences,IT startup,Seed,"$800,000 ",Mumbai,"Rubix Data Sciences focuses on simplifying decision making for Credit, Risk, Compliance, Supply Chain and Marketing professionals in the B2B domain.",2018,,Mohan Ramaswamy
Haqdarshak,Finance,Pre-series A,"$800,000 ",Jaipur,Haqdarshak is a tech platform that connects citizens with their eligible welfare schemes.,2015,"Manish Subramaniam, Upaya Social Ventures","Aniket Doegar, Asha Krishnan, PR Ganapathy"
Tinkerly,EdTech,,"$800,000 ",Jaipur,"A STEM learning online-offline solutions provider that makes STEM learning & Coding fun and interesting with superior pedagogy, blended learning, and play-based curriculum.",2015,Navneet Education,"O.P. Godara, Vivek Pathak, Kapil Arya, Sharad Bansal"
Farmers Fresh Zone,AgriTech,Pre-series A,"$800,000 ",Kochi,D2C Health and Wellness Brand for Fresh and Safe Fruits and Vegetables from farmers through traceable Supply Chain,2015,"IAN Fund, Malabar Angel Network, Native Angel Network",Pradeep PS
NeuroPixel.AI,Deeptech,Seed,"$800,000 ",Bangalore,NeuroPixel.AI Labs is a deep tech start-up that works in application of advanced AI/ML and statistical learning theory in Computer Vision and Image Processing area for online retail storefronts.,2020,"Arvind Venugopal Nair, Amritendu Mukherjee",
CreditMantri,Online credit management startup,,"$803,146 ",Chennai,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,2012,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee"
Gigforce,HR tech,,"$804,000 ",Bangalore,Provides staffing solutions for businesses,,Unitus Venture,"Chirag Mittal, Parag Modi, Anirudh Syal"
leap.club,Community,Pre-series A,"$810,000 ",Gurugram,A community-led professional network for women,2014,"Enzia Ventures, Kunal Shah","Ragini Das, Anand Sinha"
Chara,Deep Tech,Seed,"$850,000 ",Bangalore,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",2019,Kalaari Capital,"Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik"
Tracxn,Investment,Series B,"$887,000 ",Bangalore,Tracxn is the research partner for Venture Capitalist,2013,"Saif partners, Accel partners, Sequoia capital","Abhishek Goyal, Neha Singh"
PerkFinance,"Consumer Lending, FinTech",Seed,"$900,000 ","Bangalore, Karnataka, India",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company, , , 
BIGPHI TECHNOLOGIES PVT. LTD.,Fashion,Angel,"$900,000 ","Bangalore, Karnataka, India",BIGPHI technologies is the India's first technologically advanced apparel and wearable company., , , 
Kirana King,Retail,Pre-series A,"$900,000 ","Jaipur, Rajastan","A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2014,Rajasthan Venture Capital Fund,Anup Kumar
TeaMonk,Food & Bevarages,Pre-series A,"$900,000 ",Bangalore,India's Finest Specialty Tea company.,2016,"Lead Angels Network, Roots Ventures","Amit Dutta, Ashok Mittal"
Railofy,WL & RAC protection,Seed,"$900,000 ",Mumbai,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,2019,Chiratae Ventures.,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi"
Inficold,Solar,Pre-series A,"$900,000 ",New Delhi,Provide uninterrupted and affordable cooling for refrigeration,2015,Shell Foundation,"Himanshu Pokharna, Nitin Goel"
Kazam,EV startup,Seed,"$900,000 ",Bangalore,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops",2020,Inflection Point Ventures,"Akshay Shekhar, Vaibhav Tyagi"
Gobbly,Retail,Pre-series A,"$900,000 ",Gurugram,A 24x7 automated retail store filled with daily essentials.,2019,"Anicut Angel Fund, Sauce.VC","Ankur Agarwal, Amit Ahuja"
Clover,Agritech,,"$920,000 ",Bangalore,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,,Alteria Capital,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura"
Plum,Healthtech,Seed Round,"$927,000 ",Bangalore,Provides health benefits to corporates,2019,Incubate Fund,"Abhishek Poddar, Saurabh Arora"
Crio,Edtech,,"$934,000 ",Bangalore,A learning platform for developers,2018,021 Capital,"Rathinamurthy R, Sridher Jeyachandran"
GigIndia,Tech,Pre series A,"$971,000 ",Pune,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,2017,Incubate Fund India,"Sahil Sharma, Aditya Shirole"
WizKlub,Edtech,Seed Funding,"$982,530 ",Bangalore,Helps students solve problems at complex level,2018,Incubate Fund India,Amit Bansal
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain., , , 
Elemential,"Blockchain, Developer Tools, Enterprise Software",Seed,1000000,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.", , , 
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",Series A,1000000,"Mumbai, Maharashtra, India",Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends, , , 
Coutloot,"E-Commerce, Fashion, Mobile",Seed,1000000,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform., , , 
ONGO Framework,"B2B, Information Services, Information Technology",Angel,1000000,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider., , , 
HappyEMI,"Consumer, Financial Services, FinTech",Seed,1000000,"Bangalore, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online, , , 
MyNewCar.in,"Automotive, E-Commerce",Venture - Series Unknown,"$1,000,000 ","Gurgaon, Haryana, India",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive, , , 
HyperXchange,"E-Commerce, Mobile, Sharing Economy",Series A,1000000,"Pune, Maharashtra, India",hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets, , , 
HeyHolidays,"Tourism, Travel",Seed,1000000,"Bangalore, Karnataka, India","HeyHolidays, a global player in online vacation rentals.", , , 
Rubix108 Technologies,Information Technology,Seed,1000000,"Pune, Maharashtra, India",Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences., , , 
MY CHIRAAG CAB,Travel,Seed,1000000,"Jaipur, Rajasthan, India",MY CHIRAAG CAB SERVICES PVT LTD, , , 
Wooden Street,"E-Commerce, Furniture, Home Decor, Interior Design, Internet",Series A,1000000,"Jaipur, Rajasthan, India",Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces., , , 
Scale Labs,—,Seed,1000000,"Delhi, Delhi, India",Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands., , , 
Biryani By Kilo,"Catering, Food and Beverage, Food Delivery, Food Processing",Seed,1000000,"Noida, Uttar Pradesh, India",BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients., , , 
Sqrrl Fintech,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Seed,1000000,"Gurgaon, Haryana, India",Personal Finance, , , 
Sports Flashes Pvt. Ltd,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Seed,1000000,"New Delhi, Delhi, India","Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.", , , 
Cash Suvidha,Finance,Seed,1000000,"New Delhi, Delhi, India",Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India., , , 
HealthAssure,"Fitness, Health Care, Wellness",Seed,1000000,"Mumbai, Maharashtra, India",HealthAssure provides access to Discounted & High Quality primary care medical network., , , 
Gramophone,Farming,Seed,1000000,"Indore, Madhya Pradesh, India",An agricultural inputs startup Company., , , 
Edyoo,Education,Seed,1000000,"Bengaluru, Karnataka, India","Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.", , , 
CashRich,"Apps, Financial Services, FinTech",Seed,"$1,000,000 ","Mumbai, Maharashtra, India",A Mumbai-based fin-tech startup, , , 
BhaskarGuru,Search Engine,Seed,"$1,000,000 ","Bhopal, Madhya Pradesh, India",Bhaskarguru.com is your local search Engine, , , 
NIRA,"Credit, Financial Services, FinTech, Lending",Seed,1000000,"Bangalore, Karnataka, India","NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.", , , 
Shuttl,"Apps, Mobile, Transportation",Debt Financing,1000000,"Gurgaon, Haryana, India","Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.", , , 
LetsMD,"Fitness, Health Care, Wellness",Seed,1000000,"New Delhi, Delhi, India",LetsMD.com is a marketplace for elective surgeries, , , 
Cyclops Medtech,"Health Care, Health Diagnostics, Internet of Things, Life Science, Machine Learning, Medical, Medical Device",Seed,1000000,"Bangalore, Karnataka, India",Medtech startup working on clinical and wearable diagnostic and rehab products for neuro vestibular disorders using eye tracking technology., , , 
NewsBytes,"Apps, Events, News",Seed,1000000,"Gurgaon, Haryana, India",NewsBytes provides your everyday news in a contextual timeline to reduce information overload., , , 
Kratikal,Technology,Pre series A,"$1,000,000 ",Noida,It is a product-based cybersecurity solutions provider,2013,"Gilda VC, Art Venture, Rajeev Chitrabhanu.","Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa"
eJOHRI,Jewellery,Pre series A,"$1,000,000 ",Mumbai,Omnichannel marketplace for gems and jewellery,2015,Rajesh Ranavat,"Jignesh Mehta, Shailen Mehta"
Kratikal,Technology,Pre-series A,"$1,000,000 ",Uttar pradesh,Provides cyber security solutions,,"Gilda VC, Art Venture, Rajeev Chitrabhanu",Pavan Kushwaha
Froogal,Marketing & Customer loyalty,Pre series A,"$1,000,000 ",Hyderabad,A cloud based Customer Loyalty & Engagement Platform,,US-based angel investors,"Jeevan Chowdary M, Harshit Harchani"
Gig India,Crowdsourcing,Pre-series A,"$1,000,000 ",Pune,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,2017,"Shantanu Deshpande, Subramaniam Ramadorai","Aditya Shirole, Sahil Sharma"
Moneyboxx Finance,FinTech,,"$1,000,000 ",New Delhi,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,2019,"BlackSoil, Caspian",Prashant Agarwal
TaxBuddy.com,FinTech,,"$1,000,000 ",Mumbai,TaxBuddy for any tax related issues.,2019,Zenith Global,Sujit Bangar
Countingwell,EdTech,Pre-series A,"$1,000,000 ",Bangalore,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",2018,"Delhi Private School, UAE, Interstar",Nirmal Shah
Sreyas Holistic Remedies,Medtech,,"$1,000,000 ",Hyderabad,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,2008,Blacksoil,Dr Prashant Soma
BHIVE Investech,Co-working Startup,Seed,"$1,000,000 ",Bangalore,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2014,Blume Ventures,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman"
Bombay Play,Gaming startup,Seed,"$1,000,000 ",Bangalore,Bombay Play is a Card and Toy Company Making games for India.,2017,"Ramakant Sharma, Leo Capital India","Abhas Saroha, Oliver Jones, Oliver Jones"
Raskik,Fusion beverages,Pre-series A,"$1,000,000 ",,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2019,"Venture Catalysts, 9Unicorns","Vikas Chawla, Abhay Parnerkar, Satyajit Ram"
ERPNext,Tech company,,"$1,000,000 ",Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2008,Rainmatter,Rushabh Mehta
STAGE,Entertainment,,"$1,000,000 ",Indore,STAGE is an Indian language content platform for artist-led entertainment.,2019,Venture Catalysts,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal"
NIRA,FinTech,,"$1,000,000 ",Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2017,"Techstars Bangalore Accelerator, Techstars","Rohit Sen, Nupur Gupta"
Instoried,AI startup,Pre-series A,"$1,000,000 ",Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2018,"Venture Catalysts, SOSV","Sharmin Ali, Sutanshu Raj"
Arata,E-commerce,Pre-series A,"$1,000,000 ",New Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2017,DSG Consumer Partners,"Dhruv Madhok, Dhruv Bhasin"
AjnaLens,AR/VR startup,Bridge,"$1,000,000 ",Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2014,"Mohsin Hani Al Bahrani, MoD","Abhijit Patil, Abhishek Tomar, Pankaj Raut"
TurboHire,Recruitment startup,Seed,"$1,000,000 ",Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2018,"Kia Ora Ventures, Pentathlon Ventures","Abhishek Kabra, Aman Gour"
Bizlog,Logistics,,"$1,000,000 ",Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2016,IAN Fund,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam"
Fedo,AI startup,,"$1,000,000 ",Bangalore,Artificial Intelligence based Credit Score for Health,2017,AIM Smart City,"Arun Mallavarapu, Prasanth Madavana"
FabHotels,Hospitality,,"$1,000,000 ",Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2015,"RB Investments Pte. Ltd, Goldman Sachs","Adarsh Manpuria, Vaibhav Aggarwal"
Freshokartz,AgriTech,Pre-series A,"$1,000,000 ","Jaipur, Rajastan","Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2016,"Rajasthan Venture Capital Fund, Innovana Thinklabs","Chandrakanta, Rajendra Lora"
Krishitantra,Soil-Tech,Seed,"$1,000,000 ",Hyderabad,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,2017,"NABVENTURES, Omnivore","Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman"
Fanball XI,Gaming,Seed,"$1,000,000 ",New Delhi,The gaming company mostly focused on fantasy football games,,Foxhog Ventures,Vinayak Seth
Legal Salah,LegalTech,Seed,"$1,000,000 ",Kolkata,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,2015,I2I Capitals,CA Abhinit Singh
WoodenStreet,Home Design,,"$1,000,000 ",Rajastan,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,2015,"IAN Fund, Rajasthan Venture Capital Fund","Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat"
Vivriti Capital,FinTech,,"$1,000,000 ",Chennai,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,2017,"Aspada, Creation Investments Capital Management, LLC","Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar"
EM3 Agri,AgriTech,,"$1,000,000 ",Noida,A pioneering organization in the farming-as-a service (FaaS) space,2013,"Global Innovation Fund, Soros Economic Development Fund","Rohtash Mal CMD, Adwitiya"
Assiduus,E-commerce,Series A,"$1,000,000 ",Bangalore,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",,VC Firm K Partners,Somdutta Singh
